id,code,name,aliquot,month_ucim,year_ucim
concept128,1178,"Librería, papelerías y revistas",10,1010,12120
concept129,1179,"Ópticas, lentes, similares",10,1010,12120
concept130,1180,Otros comercios similares o conexos,7,1010,12120
concept131,1181,Revistas y periódicos,8,1010,12120
concept132,1182,Revistas y periódicos con anexos de actividades similar,8,1010,12120
concept133,1183,"Venta de discos (detal), cartuchos y casetes, CD, DVD, VCD, Blu-Ray",8,1010,12120
concept134,1184,"Detal de artículos eróticos, mágicos, de broma, esotéricos y similares",10,1170,14040
concept135,1185,Mayor de artículos deportivos,10,1010,12120
concept136,1186,Mayor de artículos religiosos,10,1010,12120
concept137,1187,"Mayor de cuchilleria, vajillas y otros artículos de vidrio, loza o porcelana",10,1010,12120
concept138,1188,"Mayor de jugueteria, piñateria y similares",10,1010,12120
concept139,1189,"Mayor de librería, papeleria, revistas",10.5,1010,12120
concept140,1190,Tiendas de instrumentos musicales y detal de accesorios para instrumentos musicales,10,1010,12120
concept141,1191,Tiendas de mascotas y accesorios,10.5,1010,12120
concept142,1192,Armería,8,1010,12120
concept143,1740,"Fabricación de forros de vehículos, carpas, etc.",5,1340,16080
concept144,1741,Empresas ensambladoras diversas,5,1340,16080
concept145,1742,"Otras actividades comerciales, industriales, de servicio, conexas, de índole similar no clasificadas en ninguna parte.",5,1670,20040
concept146,1750,Otras actividades comerciales ambulantes ejercidas en forma eventual,10,1670,20040
concept147,1751,Detal de alimentos preparadas en Vehículos automotores (Food Trucks),12,1670,20040
concept148,1752,Vendedores ambulantes en carrito de mano,4,1170,14040
concept149,1753,"Jugos, refrescos, agua y otras actividades de la economía informal",4,1170,14040
concept150,1754,Otras expendidos de alimentos preparados no especificados,4,1170,20040
concept151,1755,Otros expendios de mercancías secas no especificados,4,1670,20040
concept152,1756,"Otros expendios de alimentos y víveres, no especificados",4,1670,20040
concept153,1716,Instalación de ascensores y demás accesorios para contratistas especializadas,5,1340,16080
concept154,1717,Pintura y decoraciones de edificios para contratistas especializados,5,1340,20040
concept155,1718,"Construcción, negociación y mantenimiento de calles, avenidas, autopistas y similares",5,1340,16080
concept156,1719,"Constructores de aeropuertos, con todas sus instalaciones relacionadas",5,1340,16080
concept157,1720,Construcción de centrales y líneas telefónicas y televisión por cable,5,1340,16080
concept158,1721,"Construcción de acueductos, cloacas y alcantarillado",5,1340,16080
concept159,1722,Construcción de obras portuarias,5,1340,16080
concept160,1723,"Construcción de bombas de gasolina, o cualquier otra.",5,1340,16080
concept161,1724,Construcción derivada de empresas relacionadas con hidrocarburos,5,1340,16080
concept162,1725,"Estudio, construcción y obras diversas no especificadas en otros grupos",5,1670,20040
concept163,1730,Fabricación de aparatos fotográficos e instrumentos de óptica,5,1340,16080
concept164,1731,"Fabricación de escobas, cepillos y similares",3.5,1340,16080
concept165,1732,Fabricación de instrumentos musicales,5,1340,16080
concept166,1733,"Fabricación de instrumentos profesionales científicos de medidas, precisión y control",3.5,1340,16080
concept167,1734,"Fabricación de joyas, orfebrería y platería",3.5,1340,16080
concept168,1735,Fabricación de juguetes y artículos para deporte y juegos de salón,5,1340,16080
concept169,1736,Industrias diversas no especificadas en otro grupo,5,1340,16080
concept170,1737,Tallado de productos de piedra y mármol,5,1340,16080
concept171,1738,Industrias de Reciclaje,5,1340,16080
concept172,1739,Fabricación de hielo,5,1340,16080
concept173,1688,"Construcción, reparación y embalaje de aviones",5,1340,16080
concept174,1689,Construcción naval y reparación de barcos,5,1340,16080
concept175,1690,Construcción y reparación de equipos ferroviarios,5,1340,16080
concept176,1691,Construcción y ensamblaje de vehículos automotores,5,1340,16080
concept177,1692,Fabricación de materiales de transporte no especificados en otro grupo,5,1340,16080
concept178,1700,"Producción, transmisión y distribución de energía eléctrica y comercialización privada, públicada o del estado",7,1340,16080
concept179,1701,"Producción y distribución de agua mediante uso de camiones, tanques y otros medios distintos al acueducto regional",11,1340,16080
concept180,1702,"Tratamiento y distribución de agua mediante uso de camiones, tanques y otros medios distintos al acueducto regional",11,1340,16080
concept181,1704,Obras hidráulicas y suministros de agua,11,1340,16080
concept182,1710,Constructoras transeúntes que ejecuten cualquier obra en el municipio Girardot,11,2090,25080
concept183,1711,"Construcción, reparación y remodelación de edificios, casas, hospitales, escuelas y cualesquiera otras edificaciones similiares",8,1670,20040
concept184,1712,"Instalación de pilotes, trabajos de excavación cimentación y rehabilitación de tierras para la construcción",5,1340,16080
concept185,1713,Albañilería en construcción de edificios,5,1340,16080
concept186,1714,Instalación de plomería para contratista especializadas,5,1340,16080
concept187,1715,Instalación eléctricas para contratistas especializadas,5,1340,16080
concept188,1670,Construcción de máquinas y equipos para la agricultura,5,1340,16080
concept189,1671,Construcción de máquinas para trabajar los metales y la madera,5,1340,16080
concept190,1672,Construcción de máquinas y equipos especiales para la industria textil,5,1340,16080
concept191,1673,"Construcción de máquinas para la industrias del cuero, caucho y plástico",5,1340,16080
concept192,1674,"Construcción de máquinas para la industria del papel, carton e industria gráfica.",5,1340,16080
concept193,1675,"Construcción de máquinas para la industria alimentos, bebidas y tabacos",5,1340,16080
concept194,1676,Construcción de máquinas y equipos para la industria de la construcción,5,1340,16080
concept195,1677,"Construcción de máquinas de oficina, cálculo y contabilidad",5,1340,16080
concept196,1678,"Fábricas de cocinas, hornos, calentadores de agua otro similar de usos doméstico",5,1340,16080
concept197,1679,"Fábricas de equipos de ventilación, aire acondicionado, refrigeración comercial e industrial",5,1340,16080
concept198,1680,"Construcción de máquinas de coser, lavadoras y secadoras domésticas e industriales",5,1340,16080
concept199,1681,"Construcción y fabricación de equipos, accesorios, partes y repuestos mecánicos y eléctricos para vehículos de automotores particulares y usos industriales",5,1340,16080
concept200,1682,"Construcción y fabricación de equipos accesorios, partes y repuestos mecánicos y eléctricos para aparatos de TV, radio y otros medios de comunicación",5,1340,16080
concept201,1683,Repuestos mecánicos y eléctricos para aparatos de TV,5,1340,16080
concept202,1684,"Fábrica de bombillos, tubos eléctricos, lámparas y accesorios de metal, para la iluminación eléctrica",5,1340,16080
concept203,1685,Fábrica de equipos profesionales y científicos de medicina e instrumentos de medicina,5,1340,16080
concept204,1686,"Fabricación de instrumentos de óptica, lentes y artículos oftalmológicos",5,1340,16080
concept205,1687,Construcción de máquinas y equipos diversos no clasificados,5,1340,16080
concept206,1638,Fabricación de otros productos no metálicos no especificados en otro grupo,6,1340,16080
concept207,1639,"Fabricación de producto, de arcilla para construcción de alfarería",6,1340,16080
concept208,1640,Fabricación de productos de asbesto y cemento,6,1340,16080
concept209,1650,Fabricación de artículos de vidrio y fibra de vidrio para la mesa y la cocina artículo para decoración y ornamento,6,1340,16080
concept210,1651,"Fabricación de envases, botellas y otros recipientes de vidrios común",6,1340,16080
concept211,1652,Fabricación de espejos,6,1340,16080
concept212,1653,"Fabricación de vidrios, fibra de vidrio y manufactura de vidrio, para Vehículos,  automotores, y otros vidrios de seguridad, industriales, comerciales y residenciales",6,1340,16080
concept213,1655,"Industrias del aluminio, fabricación de productos estructurales de aluminio",5,1340,16080
concept214,1656,Industrias de fabricación de productos del hierro y el acero,5,1340,16080
concept215,1657,"Fabricación de piezas fundidas, forjadas o estampadas de hierro o acero",5,1340,16080
concept216,1658,Fabricación de envases metálicos y artículos de hojalata,5,1340,16080
concept217,1659,"Fabricación de herramientas de mano, artículos de ferretería y otros similares",5,1340,16080
concept218,1660,"Fabricación y/o elaboración de estructuras mayores de hierro, aluminio o cualquier otra estructura metálica",5,1340,16080
concept219,1661,Fabricación de resortes y otros productos de alambre,5,1340,16080
concept220,1662,Fabricación de otros productos metálicos no especificados en otro grupo,5,1340,16080
concept221,1663,"Galvanoplástica, gravado, niquelado, laqueado, pintura de objetos metálicos",5,1340,16080
concept222,1664,Industrias básicas de otros metales no ferrosos,5,1340,16080
concept223,1615,"Fabricación de juguetes, artículos para pelo, flojes, frutas y otros artículos de adorno de plástico",4,1340,16080
concept224,1616,"Fabricación de neumáticos, cauchos y cámaras de aire y tripas",4,1340,16080
concept225,1617,Fabricación de otros artículos de caucho no especificados en otros grupos,4,1340,16080
concept226,1618,"Fabricación de telas plásticas, hilos, alfombras, esterillas, tapetes y similares de plásticos",4,1340,16080
concept227,1619,"Fabricación de calzados, tacones y suelas de caucho",4,1340,16080
concept228,1620,Rencauchadora de llantas,4,1340,16080
concept229,1621,"Fabricación de envases plásticos, bolsas, accesorios, y otros productos plásticos para embalaje.",4,1340,16080
concept230,1625,Fabricación de materiales asfalticos para la impermeabilización de techos y otros similares,6,1340,16080
concept231,1626,Fabricación de otros productos derivados del petróleo y del carbón,6,1340,16080
concept232,1627,Horno de coke y sus productos,6,1340,16080
concept233,1628,Preparación de asfalto para pavimentación,7,1340,16080
concept234,1629,Refinación de petróleo,7,1340,16080
concept235,1630,Otros derivados del petróleo no especificados,6,1340,16080
concept236,1635,Fabricación de cal y yeso,6,1340,16080
concept237,1636,Fabricación de cemento,6,1340,16080
concept238,1637,"Fabricación de objetos de barro, loza, porcelana y yeso",6,1340,16080
concept239,1582,"Fabricación de envases, jaulas, cajas, barriles, cestas ataúdes y otros envases de madera",3,1340,16080
concept240,1583,Fabricación de mangos de madera para herramientas y de artículos de menudos de madera,3,1340,16080
concept241,1584,"Fabricación de productos de madera, corcho no específicamente en este grupo",3,1340,16080
concept242,1590,"Carpintería, cerrajería y muebleria",3,1340,16080
concept243,1591,Fabricación de colchones y almohadas,3,1340,16080
concept244,1592,Fábrica de muebles de madera y de metal,3,1340,16080
concept245,1593,"Fábrica de persianas, toldos, lámparas, carpas y similares",3,1340,16080
concept246,1594,Fabricación de otros tipos de muebles y sus accesorios no especificados en otro grupo,3,1340,16080
concept247,1595,Tapizados,3,1340,16080
concept248,1597,"Fabricación de pulpa de madera, papel y cartón",3,1340,16080
concept249,1598,"Grabados, fotograbados, tamigrafía",3,1340,16080
concept250,1599,"Impresión de periódicos, revistas y libros",3,1340,16080
concept251,1600,"Litografía, tipografía, encuadernación",3,1340,16080
concept252,1601,Servicios conexos con la industria de artes gráficas,3,1340,16080
concept253,1602,Fabricación de envases y cajas de cartón,3,1340,16080
concept254,1610,"Fabricación de carteras, artículos de viajes, billeteras, monederos y similares",4,1340,16080
concept255,1611,Fabricación de productos de talabartería y artículos de cuero para uso industrial,4,1340,16080
concept256,1559,Fabricación de productos farmacéuticos y medicamentos,6,1340,16080
concept257,1560,Fabricación de productos químicos no medicinales no especificados,6,1340,16080
concept258,1561,"Fabricación de productos y sustancias químicas industriales básicas, ácidos, base, sales",6,1340,16080
concept259,1562,"Fabricación de resinas, plásticos, cauchos sintéticos",6,1340,16080
concept260,1564,"Fabricación de tinta para uso de imprentas, multígrafos y otras tintas similares",6,1340,16080
concept261,1565,Fabricación de velas y fósforos,6,1340,16080
concept262,1566,Fabricación de material médico quirúrgico y afines,3,1340,16080
concept263,1570,"Destilación, rectificación y mezcla de alcoholes potables y elaboración de bebidas alcohólicas",10,1670,20040
concept264,1571,"Desvenes, desecación y otros trabajos relacionados con la hoja de tabaco",10,1670,20040
concept265,1572,"Fabricación de cigarrillos, tabacos, picaduras para pipa, preparación de chimo y tabaco para mascar",10,1670,20040
concept266,1573,Fabricación de mostos y vinos ordinarios de frutas,10,1670,20040
concept267,1574,Fabricación de mostos y vinos ordinarios de frutas,10,1670,20040
concept268,1575,Otras industrias de consumo masivo de bebidas alcohólicas no especificadas en otro grupo,10,1670,20040
concept269,1580,Aserraderos,3,1340,16080
concept270,1581,Elaboración de madera enchapada,3,1340,16080
concept271,1536,Fabricación de linóleo y similares,4,1340,16080
concept272,1538,"Fabricación de mecates, sogas y cordeles",4,1340,16080
concept273,1539,Fabricación de sacos de fibra,4,1340,16080
concept274,1540,"Fabricación de sombreros y accesorios tales como corbatas, gorras, impermeables y otros similares",4,1340,16080
concept275,1541,Fabricación de tapices y alfombras,4,1340,16080
concept276,1542,Fabricación de telas destinadas a la rama industrial,4,1340,16080
concept277,1543,"Fabricación y confección de ropa para caballeros, damas y niños",4,1340,16080
concept278,1544,"Fabricación de productos y derivados, textiles, hilados, confección y otros no especificados.",4,1340,16080
concept279,1550,Fabricación de aceites y grasas vegetales para uso industrial,6,1340,16080
concept280,1551,"Fabricación de adhesivos, colas, apresto y mordientes, para la industria textil",6,1340,16080
concept281,1552,"Fabricación de ceras, abrillantadores desinfectantes, desodorizantes, pulimentos de muebles y metal, otros productos de limpieza y mantenimiento no especificado",6,1340,16080
concept282,1553,"Fabricación de detergentes, jabones u otros artículos para lavados, aseo y limpìeza",6,1340,16080
concept283,1554,"Fabricación de explosivos, fuegos artificiales y municiones",6,1340,16080
concept284,1555,"Fabricación de gases industriales, oxigeno, acetileno, cloro, etc.",6,1340,16080
concept285,1556,"Fabricación de materiales químicos para fotografía, películas y papel sensibles.",6,1340,16080
concept286,1557,"Fabricación de perfumes, cosméticos y otros productos de tocador",6,1340,16080
concept287,1558,"Fabricación de pinturas, barnices, lacas, esmalte y charoles",6,1340,16080
concept288,1514,"Fabricación, envasado, transformación y/o conservación de pescado crustáceos y otros",8,1340,16080
concept289,1515,"Fabricación de productos derivados de la harina de trigo, pastas alimenticias, galletas y similares",8,1340,16080
concept290,1516,Fabricación y elaboración de mantequillas y quesos,8,1340,16080
concept291,1517,Fabricación de otros productos alimenticios y derivados no alcohólicos N.E.P,8,1340,16080
concept292,1518,"Fabricación y preparación de vinagres, condimentos y otras especies no clasificadas en otro grupo",8,1340,16080
concept293,1519,"Embotelladora de Refrescos, Gaseosas, maltas y similares",8,1340,16080
concept294,1520,"Fabricación de helados, pasteles congelados y similares",8,1340,16080
concept295,1521,Otras industrias de alimentos de consumo masivo no especificadas en otro grupo,8,1340,16080
concept296,1530,Alpargatería,4,1340,16080
concept297,1531,Fabricación y/o confección de otros artículos textiles: uniformes,4,1340,16080
concept298,1532,Fabricación de accesorios y partes de cuero destinado para la elaboración del calzado,4,1340,16080
concept299,1533,"Fabricación de artículos textiles para el hogar, tales como: cortinas, sábanas, paños y similares con materiales textiles",4,1340,16080
concept300,1534,"Fabricación de calzado de cuero, telas y otros materiales excepto el de caucho vulcanizado, moldeado o de plástico",4,1340,16080
concept301,1535,"Fabricación de hilados, tejidos y acabados textiles",4,1340,16080
concept301,1500,Embotelladora y tratamiento de agua natural y mineral,8,1340,16080
concept301,1501,"Fabricación de productos de molinera, trillado y molienda de trigo, proceso de descargar, limpiar y pulir el arroz, pilado y molienda de maíz y preparación de cereales y leguminosas para consumo humanos",8,1340,16080
concept301,1502,"Elaboración de productos molinería, torrefacción y molienda de café, transformación de té, productos similares y preparación de cereales y leguminosas, para consumo humano.",7,1340,16080
concept301,1503,"Elaboración de productos de molinería, torrefacción de Sal",7,1340,16080
concept301,1504,"Fabricación, envasado, transformación y/o conservación de frutas legumbres, hortalizas y similares",8,1340,16080
concept301,1505,"Fabricación, elaboración, transformación de productos lácteos",8,1340,16080
concept301,1506,Fabricación de alimentos preparados para animales,8,1340,16080
concept301,1507,Fabricación de aceites y grasas comestibles y no comestibles,8,1340,16080
concept301,1508,"Fabricación refinerías y envasado de azúcar, papelón, mermeladas, jaleas y similares",8,1340,16080
concept301,1509,"Fabricación de derivados del cacao, chocolates y confiterías",8,1340,16080
concept301,1510,"Industrias de bebidas no alcohólicas, excepto gaseosas y agua mineral",8,1340,16080
concept301,1511,Industrias de producción alimenticios y bebidas no alcohólicas no incluidas en otro grupo (jugos y leches),8,1340,16080
concept301,1512,"Matanza de ganado, preparación, conservación y embalaje de carnes",8,1340,16080
concept301,1513,"Beneficio de aves y otros animales, excepto el ganado",8,1340,16080
concept301,1478,"Servicios de montajes y Mantenimiento de Sistema de Seguridad, Accesorios y Equipos de Seguridad de índole comercial, industrial y residencial",10,1010,12120
concept302,1479,Servicio de instalación de papel ahumado,10,1010,12120
concept303,1480,Otros talleres no especificados,10,1010,12120
concept304,1485,"Transporte de carga en Camiones, Gandolas y vehículos similares",7,1010,12120
concept305,1486,"Transporte de carga en Camiones pequeños, camionteas y vehículos y similares",7,1010,12120
concept306,1487,Transporte de pasajeros aérea,15,1170,14040
concept307,1487.1,Transporte de carga aéreo,12,1170,14040
concept308,1488,Transporte de carga marítima o fluvial,10,1170,14040
concept309,1488.1,Transporte de pasajeros marítimo o fluvial,11,1170,14040
concept310,1489,Transporte de pasajeros ferroviario,10,1170,14040
concept311,1489.1,Transporte de carga ferroviario,10,1170,14040
concept312,1490,Transporte de pasajeros en zonas urbanas,7,1170,14040
concept313,1491,Transporte de pasajeros en zonas extra urbanas,10,1170,14040
concept314,1492,Transpote de pasajeros en zonas inter urbanas,8,1170,14040
concept315,1493,Transporte de pasajeros de uso turístico,15,1170,14040
concept316,1494,"Transporte de pasajeros, líneas de Taxis",7,1170,14040
concept317,1495,Transporte privado de pasajeros,12,1170,14040
concept318,1496,"Transporte privado de pasajeros, vehículos blindados",15,1170,14040
concept319,1497,Otros servicios de transporte no especificados fichas monedas (setecientos 700 UCIM por maquina o aparato mensual),12,1170,14040
concept320,1460,Auto alarmas,10,1010,12120
concept321,1461,Carpintería (reparación de muebles y tapizados),10,1010,12120
concept322,1462,De motores y/o bicicletas,10,1010,12120
concept323,1463,De propagandas luminosas,10,1010,12120
concept324,1464,De reparación de calzado,10,1010,12120
concept325,1465,Electricidad automotriz y/o baterías,10,1010,12120
concept326,1466,Frenos y amortiguadores,10,1010,12120
concept327,1467,Herrerías,10,1010,12120
concept328,1468,Latonería y pintura,10,1010,12120
concept329,1469,Mecánica automotriz,10,1010,12120
concept330,1470,Montura de cauchos y reparación,10,1010,12120
concept331,1471,Radiadores y/o silenciadores,10,1010,12120
concept332,1472,"Servicio de reparación de radio, televisión, eléctricos, electrónicos y computadoras",10,1010,12120
concept333,1473,Rectificación de motores y/o torneros,10,1010,12120
concept334,1474,Refrigeración,10,1010,12120
concept335,1475,Tapicería de Automóviles,10,1010,12120
concept336,1476,Tapicería de en General,10,1010,12120
concept337,1477,Talleres de corte y costura,10,1010,12120
concept338,1442,Hoteles ejecutivos,8,1670,20040
concept339,1443,Moteles,15,1670,20040
concept340,1444,Residencias,4,1170,14040
concept341,1450,"Aparatos o máquinas expendedoras de alimentos, chucherías, snack, galletas, caramelos y confites (200 UCIM) por maquina o aparato mensual",10,1340,16080
